,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Iqaluit,CA,63.7506,-68.5145,6.53,72,100,4.61,light snow
113,Bulgan,MN,48.8125,103.5347,22.55,50,2,3.98,clear sky
114,Butaritari,KI,3.0707,172.7902,81.07,73,55,18.9,broken clouds
115,Ballyhaunis,IE,53.7667,-8.7667,35.73,93,97,2.51,overcast clouds
116,Tasiilaq,GL,65.6145,-37.6368,37.56,85,100,20.89,overcast clouds
117,Ambon,ID,-3.6954,128.1814,82.54,78,40,2.3,scattered clouds
118,Hithadhoo,MV,-0.6,73.0833,80.62,79,69,10.63,broken clouds
119,Key Largo,US,25.0865,-80.4473,80.01,74,8,4.43,clear sky
120,Mar Del Plata,AR,-38.0023,-57.5575,68.02,73,75,3.44,broken clouds
121,Ostrovnoy,RU,68.0531,39.5131,29.97,89,91,7.81,overcast clouds
122,Cordoba,AR,-31.4135,-64.1811,89.24,24,0,13.8,clear sky
123,Saint-Philippe,RE,-21.3585,55.7679,69.39,77,28,6.42,scattered clouds
124,Iquique,CL,-20.2208,-70.1431,66.24,73,12,3.22,few clouds
125,Chokurdakh,RU,70.6333,147.9167,-21.23,99,98,4.41,overcast clouds
126,Arzgir,RU,45.3728,44.2206,42.75,93,100,4.94,overcast clouds
127,Leningradskiy,RU,69.3833,178.4167,5.54,93,100,5.23,overcast clouds
128,Wajid,SO,3.8093,43.2471,72.84,80,28,12.62,scattered clouds
129,Westport,US,41.1415,-73.3579,46.74,71,75,10.36,broken clouds
130,Kruisfontein,ZA,-34.0033,24.7314,60.89,73,76,6.31,broken clouds
131,Necochea,AR,-38.5473,-58.7368,61.9,92,63,6.31,broken clouds
132,Constitucion,CL,-35.3333,-72.4167,58.32,82,43,13.4,scattered clouds
133,Esperance,AU,-33.8667,121.9,66.0,58,71,17.6,broken clouds
134,Banda Aceh,ID,5.5577,95.3222,78.55,79,100,14.07,overcast clouds
135,Birao,CF,10.2849,22.7882,69.48,33,99,5.53,overcast clouds
136,Dukat,RU,62.55,155.55,-26.55,97,60,4.05,broken clouds
137,Vao,NC,-22.6667,167.4833,76.28,80,98,12.97,overcast clouds
138,Thompson,CA,55.7435,-97.8558,17.76,86,100,9.22,light snow
139,Dikson,RU,73.5069,80.5464,-1.43,97,100,13.53,overcast clouds
140,Manta,EC,-0.95,-80.7333,74.98,69,0,12.66,clear sky
141,Veraval,IN,20.9,70.3667,75.4,47,4,10.31,clear sky
142,Marawi,PH,7.9986,124.2928,69.91,92,100,2.46,moderate rain
143,Bethel,US,41.3712,-73.414,44.69,70,75,8.05,broken clouds
144,Kavaratti,IN,10.5669,72.642,81.12,72,10,2.44,clear sky
145,Vaini,TO,-21.2,-175.2,82.56,74,20,5.75,few clouds
146,Vila Velha,BR,-20.3297,-40.2925,71.55,97,75,3.44,broken clouds
147,Pokrovsk,UA,48.282,37.1758,41.09,93,100,5.7,overcast clouds
148,Bengkulu,ID,-3.8004,102.2655,74.28,95,100,19.46,light rain
149,Saskylakh,RU,71.9167,114.0833,-27.51,99,100,5.17,overcast clouds
150,Asau,RO,46.4333,26.4,36.52,87,87,2.66,overcast clouds
151,Basqal,AZ,40.7552,48.391,36.88,78,48,6.02,scattered clouds
152,Okato,NZ,-39.2,173.8833,62.91,100,100,8.12,light rain
153,Port Elizabeth,ZA,-33.918,25.5701,64.31,75,0,10.36,clear sky
154,Half Moon Bay,US,37.4636,-122.4286,69.71,49,0,12.66,clear sky
155,Voyvozh,RU,62.892,54.9635,-13.58,98,14,3.65,few clouds
156,Acarau,BR,-2.8856,-40.12,79.05,73,11,17.76,few clouds
157,Kavieng,PG,-2.5744,150.7967,84.4,68,100,8.88,overcast clouds
158,Lebu,CL,-37.6167,-73.65,57.99,92,5,8.63,clear sky
159,Ancud,CL,-41.8697,-73.8203,53.78,92,21,4.63,few clouds
160,Cervo,ES,43.6702,-7.4101,59.97,76,84,18.61,broken clouds
161,Barrow,US,71.2906,-156.7887,28.42,74,0,17.27,clear sky
162,Gubkinskiy,RU,64.434,76.5026,-6.92,79,72,9.42,broken clouds
163,Marsa Matruh,EG,31.3525,27.2453,59.2,82,20,8.05,few clouds
164,Bembereke,BJ,10.2283,2.6634,68.77,30,37,4.07,scattered clouds
165,Maracacume,BR,-2.0428,-45.9592,75.27,80,44,3.89,scattered clouds
166,Talnakh,RU,69.4865,88.3972,-28.16,99,43,4.32,scattered clouds
167,Varna,BG,43.2167,27.9167,53.44,100,85,4.61,overcast clouds
168,Viransehir,TR,37.2353,39.7631,51.91,78,95,7.4,overcast clouds
169,Ambilobe,MG,-13.2,49.05,72.23,90,62,2.48,broken clouds
170,Hami,CN,42.8,93.45,36.59,42,100,3.24,overcast clouds
171,Jardim,BR,-21.4803,-56.1381,68.95,75,0,5.17,clear sky
172,Bluff,NZ,-46.6,168.3333,58.8,86,100,11.61,overcast clouds
173,Khatanga,RU,71.9667,102.5,-26.12,100,98,4.83,overcast clouds
174,Manggar,ID,-2.8833,108.2667,81.21,83,72,9.24,broken clouds
175,Faanui,PF,-16.4833,-151.75,79.52,75,100,3.49,overcast clouds
176,Hegang,CN,47.4,130.3667,23.67,71,3,0.56,clear sky
177,Ahuimanu,US,21.4447,-157.8378,83.91,59,75,16.11,broken clouds
178,Safranbolu,TR,41.2508,32.6942,43.97,75,38,1.39,scattered clouds
179,Sheregesh,RU,52.9209,87.9869,19.96,86,100,7.47,overcast clouds
180,Coihaique,CL,-45.5752,-72.0662,59.61,62,75,3.44,broken clouds
181,Avera,US,33.194,-82.5271,51.31,48,100,10.94,overcast clouds
182,Airai,TL,-8.9266,125.4092,68.02,73,100,1.45,overcast clouds
183,Cidreira,BR,-30.1811,-50.2056,67.26,61,0,4.38,clear sky
184,Penzance,GB,50.1186,-5.5371,50.68,71,82,25.34,broken clouds
185,Dali,CN,25.7,100.1833,43.52,77,0,2.71,clear sky
186,Castelldefels,ES,41.2779,1.9703,66.18,62,20,6.91,few clouds
187,Amnat Charoen,TH,15.9167,104.75,74.1,84,45,8.77,scattered clouds
188,Atambua,ID,-9.1061,124.8925,81.97,66,99,1.16,overcast clouds
189,Anadyr,RU,64.75,177.4833,34.3,86,0,4.47,clear sky
190,Sisimiut,GL,66.9395,-53.6735,22.71,90,100,21.05,light snow
191,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,75,2.3,broken clouds
192,Meulaboh,ID,4.1363,96.1285,75.18,88,100,3.27,moderate rain
193,Millinocket,US,45.6573,-68.7098,29.41,100,100,13.8,mist
194,Port Hardy,CA,50.6996,-127.4199,42.98,75,20,0.0,few clouds
195,Surt,LY,31.2089,16.5887,68.29,35,0,16.31,clear sky
196,Saint Anthony,US,45.0205,-93.218,30.25,85,100,13.8,overcast clouds
197,Namatanai,PG,-3.6667,152.4333,84.4,68,100,6.42,overcast clouds
198,Verkhnyaya Inta,RU,65.9811,60.3094,-9.49,87,15,8.34,few clouds
199,Dhidhdhoo,MV,6.8833,73.1,80.94,75,29,6.64,scattered clouds
200,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,82.8,44,25,4.92,scattered clouds
201,Tarauaca,BR,-8.1614,-70.7656,74.26,97,95,1.68,overcast clouds
202,Dudinka,RU,69.4058,86.1778,-33.48,100,34,3.4,scattered clouds
203,Salinas,US,36.6777,-121.6555,71.69,36,0,5.75,clear sky
204,Yellowknife,CA,62.456,-114.3525,0.12,78,75,4.61,light snow
205,Almunecar,ES,36.7339,-3.6907,69.44,72,81,11.21,broken clouds
206,Le Port,RE,-20.9373,55.2919,71.56,66,25,2.62,scattered clouds
207,Nipawin,CA,53.3668,-104.0009,21.24,73,100,17.27,overcast clouds
208,Mabaruma,GY,8.2,-59.7833,74.75,93,87,2.89,overcast clouds
209,Provideniya,RU,64.3833,-173.3,35.71,87,100,18.01,fog
210,Touros,BR,-5.1989,-35.4608,78.93,70,3,13.6,clear sky
211,Manica,FR,49.0,-1.1667,50.52,84,72,19.66,broken clouds
212,Cascavel,BR,-24.9558,-53.4553,71.2,40,0,3.44,clear sky
213,Cacahoatan,MX,14.9833,-92.1667,79.0,91,56,2.3,light rain
214,Turukhansk,RU,65.8167,87.9833,-37.43,100,88,0.81,overcast clouds
215,Flinders,AU,-34.5833,150.8552,64.18,50,8,4.0,clear sky
216,Posse,BR,-14.0931,-46.3694,68.11,92,100,3.06,overcast clouds
217,Tarakan,ID,3.3,117.6333,78.3,94,20,2.3,light rain
218,Nikolskoye,RU,59.7035,30.7861,31.91,85,100,6.06,overcast clouds
219,Longyearbyen,SJ,78.2186,15.6401,22.84,63,20,13.8,few clouds
220,Fairbanks,US,64.8378,-147.7164,16.09,87,40,0.0,scattered clouds
221,Santa Cruz Verapaz,GT,15.3667,-90.4333,66.96,83,75,4.61,broken clouds
222,Waipawa,NZ,-41.4122,175.5153,64.36,77,99,5.77,overcast clouds
223,Graaff-Reinet,ZA,-32.2522,24.5308,58.93,82,68,3.94,broken clouds
224,Port Lincoln,AU,-34.7333,135.8667,60.75,63,5,17.74,clear sky
225,Mount Gambier,AU,-37.8333,140.7667,56.97,59,66,5.21,broken clouds
226,Celestun,MX,20.8667,-90.4,78.98,79,19,13.89,light rain
227,Panguipulli,CL,-39.6333,-72.3333,59.02,78,20,1.52,few clouds
228,Cherskiy,RU,68.75,161.3,0.68,96,100,4.05,overcast clouds
229,Puerto Gaitan,CO,4.3133,-72.0816,77.56,85,100,5.12,overcast clouds
230,Puerto Escondido,MX,15.85,-97.0667,85.03,61,40,3.44,scattered clouds
231,Fort Payne,US,34.4442,-85.7197,43.81,58,0,4.61,clear sky
232,Miri,MY,4.4148,114.0089,78.94,94,40,2.3,scattered clouds
233,Saint-Pierre,RE,-21.3393,55.4781,69.48,52,0,5.75,clear sky
234,Karratha,AU,-20.7377,116.8463,73.74,60,8,12.12,clear sky
235,Yulara,AU,-25.2406,130.9889,74.25,46,13,18.28,few clouds
236,Aksu,CN,41.1231,80.2644,36.88,46,100,7.43,overcast clouds
237,Sondershausen,DE,51.3667,10.8667,45.55,82,97,9.46,overcast clouds
238,Chicama,PE,-7.8447,-79.1469,61.34,77,59,5.44,broken clouds
239,Tiznit,MA,29.5833,-9.5,63.63,28,61,1.81,broken clouds
240,Bontang,ID,0.1333,117.5,79.2,86,100,5.23,overcast clouds
241,Geraldton,AU,-28.7667,114.6,64.81,63,75,12.66,broken clouds
242,Sri Aman,MY,1.2376,111.4621,75.25,100,98,0.0,overcast clouds
243,Songjianghe,CN,42.1859,127.479,31.71,52,22,5.61,few clouds
244,Chuy,UY,-33.6971,-53.4616,62.22,72,3,5.75,clear sky
245,Channel-Port Aux Basques,CA,47.5702,-59.1367,37.06,73,100,12.19,light rain
246,Camacha,PT,33.0833,-16.3333,65.62,88,75,16.11,broken clouds
247,Erenhot,CN,43.6475,111.9767,28.9,47,1,8.48,clear sky
248,Kindu,CD,-2.95,25.95,70.7,90,68,2.1,light rain
249,Sobolevo,RU,54.4299,31.8996,24.84,82,12,6.46,few clouds
250,Sampit,ID,-2.5333,112.95,77.11,84,100,0.51,light rain
251,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,25.88,97,100,6.73,snow
252,San Quintin,MX,30.4833,-115.95,65.46,41,0,7.29,clear sky
253,Torva,EE,58.0028,25.935,29.95,74,94,3.15,overcast clouds
254,Saint George,US,37.1041,-113.5841,54.19,27,0,3.44,clear sky
255,Goderich,CA,43.7501,-81.7165,34.12,86,89,6.91,snow
256,Bom Jesus,BR,-9.0744,-44.3586,77.18,67,42,4.07,scattered clouds
257,Ilhabela,BR,-23.7781,-45.3581,69.71,78,25,4.23,scattered clouds
258,Kazachinskoye,RU,57.6953,93.2761,29.71,84,100,9.64,overcast clouds
259,Samarai,PG,-10.6167,150.6667,85.51,72,95,14.54,overcast clouds
260,Carnarvon,AU,-24.8667,113.6333,67.15,57,100,14.99,overcast clouds
261,Phonhong,LA,18.5007,102.4166,72.16,93,18,2.28,few clouds
262,Dunmore Town,BS,25.5,-76.65,80.26,74,20,6.73,few clouds
263,Lorengau,PG,-2.0226,147.2712,84.74,58,87,6.13,overcast clouds
264,Santa Marta,CO,11.2408,-74.199,84.25,77,75,10.0,broken clouds
265,Ayia Anna,CY,34.9399,33.4843,60.33,82,0,1.14,clear sky
266,Yumen,CN,40.2833,97.2,28.18,34,0,5.57,clear sky
267,Hays,US,30.0502,-98.0336,51.94,48,24,4.0,few clouds
268,Gasa,PS,31.5,34.4667,62.89,67,16,5.21,few clouds
269,Aklavik,CA,68.2191,-135.0107,10.4,85,75,4.61,broken clouds
270,Alyangula,AU,-13.8483,136.4192,88.83,55,89,3.15,overcast clouds
271,Abha,SA,18.2164,42.5053,53.42,58,0,0.0,clear sky
272,Shubarkuduk,KZ,49.1447,56.4872,24.22,83,99,7.94,overcast clouds
273,Fuzhou,CN,26.0614,119.3061,66.09,90,57,1.97,broken clouds
274,Quatre Cocos,MU,-20.2078,57.7625,68.11,66,0,5.53,clear sky
275,Ilulissat,GL,69.2167,-51.1,15.82,73,75,8.05,broken clouds
276,Padang,ID,-0.9492,100.3543,74.3,97,100,4.25,light rain
277,Plyussa,RU,58.4308,29.3654,31.66,84,100,4.0,overcast clouds
278,Luderitz,NA,-26.6481,15.1594,60.13,81,7,12.17,clear sky
279,Pisco,PE,-13.7,-76.2167,66.25,77,0,18.41,clear sky
280,Atar,MR,20.5169,-13.0499,77.07,21,6,9.51,clear sky
281,Somers,US,42.6403,-87.9104,34.66,72,75,8.01,broken clouds
282,Tete,MZ,-16.1564,33.5867,80.69,65,20,6.91,few clouds
283,Vostok,RU,46.4856,135.8833,20.97,81,80,2.77,broken clouds
284,Dawlatabad,AF,36.4141,64.9053,47.53,52,26,6.76,scattered clouds
285,Palomares,MX,17.15,-95.0667,71.53,93,96,9.6,overcast clouds
286,Sayat,TM,38.7839,63.8803,37.27,73,39,10.13,scattered clouds
287,Kangaatsiaq,GL,68.3065,-53.4641,21.15,89,100,1.77,overcast clouds
288,Portland,US,45.5234,-122.6762,52.88,55,0,12.66,clear sky
289,Stornoway,GB,58.2093,-6.3865,48.16,76,44,6.91,scattered clouds
290,Ikalamavony,MG,-21.15,46.5833,68.61,82,75,2.44,light rain
291,Itaituba,BR,-4.2761,-55.9836,81.16,71,97,2.04,overcast clouds
292,Poum,NC,-20.2333,164.0167,79.41,76,96,4.94,overcast clouds
293,Beitbridge,ZW,-22.2167,30.0,80.82,34,0,4.79,clear sky
294,Sakata,JP,38.9167,139.855,50.18,62,75,9.22,broken clouds
295,Biak,ID,-0.9131,122.8766,80.58,79,100,5.35,overcast clouds
296,Souillac,MU,-20.5167,57.5167,68.38,83,75,2.3,broken clouds
297,Richards Bay,ZA,-28.783,32.0377,71.04,92,78,6.22,broken clouds
298,Poronaysk,RU,49.2167,143.1167,25.83,72,15,4.29,few clouds
299,Klaksvik,FO,62.2266,-6.589,49.12,89,82,33.67,light rain
300,Cabo San Lucas,MX,22.8909,-109.9124,79.11,65,40,4.61,scattered clouds
301,Svetlyy,RU,54.675,20.1347,33.85,76,12,10.36,few clouds
302,Neiafu,TO,-18.65,-173.9833,81.28,89,40,2.3,scattered clouds
303,Smithers,CA,54.7804,-127.1743,32.32,80,75,5.75,broken clouds
304,Edirne,TR,41.6772,26.556,56.8,91,68,5.14,broken clouds
305,Upernavik,GL,72.7868,-56.1549,11.21,92,97,12.24,overcast clouds
306,Teguise,ES,29.0605,-13.564,62.82,68,0,0.0,clear sky
307,Port Moresby,PG,-9.4431,147.1797,87.22,70,40,3.44,scattered clouds
308,Tautira,PF,-17.7333,-149.15,77.94,79,92,9.15,overcast clouds
309,Ilinskiy,RU,55.619,38.1182,24.53,96,75,2.24,broken clouds
310,Charters Towers,AU,-20.1,146.2667,87.22,17,51,13.69,broken clouds
311,Solenzo,BF,12.1833,-4.0833,74.55,16,80,6.31,broken clouds
312,Kasongo-Lunda,CD,-6.4667,16.8167,69.67,91,100,1.92,overcast clouds
313,Roma,US,43.2128,-75.4557,38.95,90,100,8.05,overcast clouds
314,Sorong,ID,-0.8833,131.25,82.31,78,99,3.04,overcast clouds
315,Ballarat,AU,-37.5662,143.8496,51.58,77,93,4.0,overcast clouds
316,Chico,US,39.7285,-121.8375,69.89,19,0,9.22,clear sky
317,Timizart,DZ,36.8,4.2667,61.75,79,100,6.96,overcast clouds
318,Kununurra,AU,-15.7667,128.7333,78.78,83,75,1.14,broken clouds
319,Tacoronte,ES,28.4769,-16.4102,70.97,36,0,5.75,clear sky
320,Makakilo City,US,21.3469,-158.0858,82.72,55,100,17.27,overcast clouds
321,Hobyo,SO,5.3505,48.5268,80.64,74,31,13.56,scattered clouds
322,Toropets,RU,56.4978,31.6353,28.15,85,40,4.36,scattered clouds
323,Leon Valley,US,29.4952,-98.6186,55.29,40,40,6.91,scattered clouds
324,Kano,NG,12.0001,8.5167,60.69,72,1,2.3,clear sky
325,Mao,ES,39.8885,4.2658,64.96,68,0,10.36,clear sky
326,Redcar,GB,54.6166,-1.06,48.45,72,82,3.0,heavy intensity rain
327,Mayya,RU,61.7333,130.2811,-38.69,97,23,4.7,few clouds
328,Batticaloa,LK,7.7102,81.6924,75.13,78,98,9.86,overcast clouds
329,Vestmanna,FO,62.1564,-7.1664,47.32,81,100,21.85,light rain
330,Sistranda,NO,63.7256,8.834,42.76,57,4,17.74,clear sky
331,Kifri,IQ,34.6959,44.9661,59.97,71,47,6.62,light rain
332,Cururupu,BR,-1.8283,-44.8683,73.96,84,57,3.91,broken clouds
333,Timra,SE,62.487,17.3257,26.67,93,40,6.91,scattered clouds
334,Margate,GB,51.3813,1.3862,54.9,94,98,4.0,overcast clouds
